--
-- Data for TOC Entry ID 31 (OID 1153543)
--
-- Name: tauth Type: TABLE DATA Owner: osirisdba
--


COPY tauth FROM stdin;
64120	Aleksandrov	Aleksandrov	A. L.	0	 
64121	Aleksandrov	Aleksandrov	V. A.	0	 
64122	Aleksandrova	Aleksandrova	L. P.	0	 
64123	Aleksandrova	Aleksandrova	L. P.	0	 
64124	Aleksandrova	Aleksandrova	L. P.	0	 
64125	Aleksandrova	Aleksandrova	L. P.	0	 
64126	Aleksandrova	Aleksandrova	L. P.	0	 
64126	Tseetlin	Tsei%Rtlin	S. M.	1	 
64128	Alekseev	Alekseev	M. N.	0	 
64129	Alekseev	Alekseev	M. N.	0	 
64130	Alekseev	Alekseev	M. N.	0	 
64131	Alekseev	Alekseev	M. N.	0	 
64131	Giterman	Giterman	R. E.	1	 
64131	Kuprina	Kuprina	N. P.	2	 
64131	Mediantsev	Mediantsev	A. I.	3	 
64131	Khoreva	Khoreva	I. M.	4	 
64132	Alexeev	Alexeev	M. N.	0	 
64132	Kuprina	Kuprina	N. P.	1	 
64132	Mediantsev	Mediantsev	A. I.	2	 
64132	Khoreva	Khoreva	I. M.	3	 
64133	Alekseev	Alekseev	M. N.	0	 
64133	Ravskii	Ravskii%R	E. I.	1	 
64133	Tseetlin	Tsei%Rtlin	S. M.	2	 
64134	Alekseev	Alekseev	M. N.	0	 
64134	Ravskii	Ravskii%R	E. I.	1	 
64134	Tseetlin	Tsei%Rtlin	S. M.	2	 
64136	Alekseev	Alekseev	V. A.	0	 
64137	Alekseev	Alekseev	V. A.	0	 
64137	Ivanova	Ivanova	I. K.	1	 
64137	Kind	Kind	N. V.	2	 
64137	Chernysh	Chernysh	A. P.	3	 
64138	Alekseev	Alekseev	V. P.	0	 
64139	Alekseev	Alekseev	V. P.	0	 
64140	Alekseev	Alekseev	V. P.	0	 
64141	Alekseev	Alekseev	V. P.	0	 
64142	Alekseev	Alekseev	V. P.	0	 
64143	Alekseev	Alekseev	V. P.	0	 
64144	Alekseev	Alekseev	V. P.	0	 
64145	Alekseeva	Alekseeva	L. I.	0	 
64146	Alekseeva	Alekseeva	L. I.	0	 
64147	Alekseeva	Alekseeva	L. I.	0	 
64148	Alekseeva	Alekseeva	L. I.	0	 
64149	Alekseeva	Alekseeva	L. I.	0	 
64150	Alekseeva	Alekseeva	L. I.	0	 
64151	Alekseeva	Alekseeva	L. I.	0	 
64152	Alekseeva	Alekseeva	L. I.	0	 
64153	Alekseeva	Alekseeva	L. I.	0	 
64154	Alekseeva	Alekseeva	L. I.	0	 
64155	Alekseeva	Alekseeva	L. I.	0	 
64155	Garutt	Garutt	V. E.	1	 
64156	Alekseeva	Alekseeva	L. I.	0	 
64156	Lomize	Lomize	M. G.	1	 
64157	Alekseeva	Alekseeva	L. V.	0	 
64158	Alessio	Alessio	M.	0	 
64158	Bella	Bella	F.	1	 
64158	Cortesi	Cortesi	C.	2	 
64159	Alessio	Alessio	M.	0	 
64159	Bella	Bella	F.	1	 
64159	Bachechi	Bachechi	F.	2	 
64159	Cortesi	Cortesi	C.	3	 
64160	Alessio	Alessio	M.	0	 
64160	Bella	Bella	F.	1	 
64160	Bachechi	Bachechi	F.	2	 
64160	Cortesi	Cortesi	C.	3	 
64161	Alessio	Alessio	M.	0	 
64161	Bella	Bella	F.	1	 
64161	Bachechi	Bachechi	F.	2	 
64161	Cortesi	Cortesi	C.	3	 
64162	Alexandersen	Alexandersen	V.	0	 
64163	Alexandersen	Alexandersen	V.	0	 
64164	Alexandersen	Alexandersen	V.	0	 
64165	Alf	Alf	Raymond M.	0	 
64167	Alimen	Alimen	Marie-Henrietta	0	 
64169	Alimen	Alimen	Marie-Henrietta	0	 
64170	Alimen	Alimen	Marie-Henrietta	0	 
64171	Alimen	Alimen	Marie-Henrietta	0	 
64172	Alimen	Alimen	Marie-Henrietta	0	 
64173	Alimen	Alimen	Marie-Henrietta	0	 
64174	Alimen	Alimen	Marie-Henrietta	0	 
64175	Alimen	Alimen	Marie-Henrietta	0	 
64176	Alimen	Alimen	Marie-Henrietta	0	 
64177	Alimen	Alimen	Marie-Henrietta	0	 
64178	Alimen	Alimen	Marie-Henrietta	0	 
64179	Alimen	Alimen	Marie-Henrietta	0	 
64180	Alimen	Alimen	M.-H.	0	 
64180	Chavaillon	Chavaillon	J.	1	 
64181	Alimen	Alimen	H.	0	 
64181	Chavaillon	Chavaillon	N.	1	 
64181	Karpoff	Karpoff	R.	2	 
64182	Alimen	Alimen	H.	0	 
64182	Radulesco	Ra%Rdulesco	C.	1	 
64182	Samson	Samson	P.	2	 
64184	Alizade	Alizade	K. A.	0	 
64185	Alizade	Alizade	A. N.	0	 
64185	Asadov	Asadov	S. M.	1	 
64185	Derzhavin	Derzhavin	A. N. (Eds.)	2	 
64186	Aljter	Aljter	S. P.	0	 
64187	Alker	Alker	Julius	0	 
64188	Alker	Alker	Julius	0	 
64189	Allchin	Allchin	Bridget	0	 
64190	Allchin	Allchin	Bridget	0	 
64191	Allchin	Allchin	Bridget	0	 
64192	Allen	Allen	J. R. L.	0	 
