54,127,*Cooke, H. B. S.*,**,**
54,128,*Ande%Arez, V.*,**,**
54,129,*Anderson, Frank Marion*,**,**
54,130,*Andrews, Roy Chapman*,**,**
54,131,*Andrews, Roy Chapman*,**,**
54,132,*Andrews, Roy Chapman*,**,**
54,133,*Anelli, Franco*,**,**
54,134,*Anelli, Franco*,**,**
54,135,*Angel, J. Lawrence*,**,**
54,135,*Coon, C. S.*,**,**
54,136,*Angelis d'Ossat, Gioacchino de*,**,**
54,137,*Angelroth, Henri*,**,**
54,138,*Angelroth, Henri*,**,**
54,139,*Angelroth, Henri*,**,**
54,140,*Angelroth, Henri*,**,**
54,141,*Angelroth, Henri*,**,**
54,142,*Angelroth, Henri*,**,**
54,143,*Angelroth, Henri*,**,**
54,144,*Angelroth, Henri*,**,**
54,145,*Angelroth, Henri*,**,**
54,146,*Angelroth, Henri*,**,**
54,147,*Anonymous*,**,**
54,148,*Anonymous*,**,**
54,149,*Anonymous*,**,**
54,150,*Anonymous*,**,**
54,151,*Anonymous*,**,**
54,152,*Anonymous*,**,**
54,153,*Anonymous*,**,**
54,154,*Anonymous*,**,**
54,155,*Anonymous*,**,**
54,156,*Anonymous*,**,**
54,157,*Anonymous*,**,**
54,158,*Anonymous*,**,**
54,159,*Anonymous*,**,**
54,160,*Anonymous*,**,**
54,161,*Anonymous*,**,**
54,162,*Anonymous*,**,**
54,163,*Anonymous*,**,**
54,164,*Anonymous*,**,**
54,165,*Anonymous*,**,**
54,166,*Anonymous*,**,**
54,167,*Anonymous*,**,**
54,168,*Anonymous*,**,**
54,169,*Anonymous*,**,**
54,170,*Anonymous*,**,**
54,171,*Anonymous*,**,**
54,172,*Anonymous*,**,**
54,173,*Anonymous*,**,**
54,174,*Anonymous*,**,**
54,175,*Anonymous*,**,**
54,176,*Anonymous*,**,**
54,177,*Anonymous*,**,**
54,178,*Anonymous*,**,**
54,179,*Anonymous*,**,**
54,180,*Anonymous*,**,**
54,181,*Anonymous*,**,**
54,182,*Anonymous*,**,**
54,183,*Anonymous*,**,**
54,184,*Anonymous*,**,**
54,185,*Anonymous*,**,**
54,186,*Anonymous*,**,**
54,187,*Anonymous*,**,**
54,188,*Anonymous*,**,**
54,189,*Anonymous*,**,**
54,190,*Anonymous*,**,**
54,191,*Anonymous*,**,**
54,192,*Anonymous*,**,**
54,193,*Anonymous*,**,**
54,194,*Anonymous*,**,**
54,195,*Anonymous*,**,**
54,196,*Anonymous*,**,**
54,197,*Anonymous*,**,**
54,198,*Anonymous*,**,**
54,199,*Anonymous*,**,**
54,200,*Anonymous*,**,**
54,201,*Anonymous*,**,**
54,202,*Anonymous*,**,**
54,203,*Anonymous*,**,**
54,204,*Anonymous*,**,**
54,205,*Anonymous*,**,**
54,206,*Anonymous*,**,**
54,207,*Anonymous*,**,**
54,208,*Anonymous*,**,**
54,209,*Anonymous*,**,**
54,210,*Anonymous*,**,**
54,211,*Anonymous*,**,**
54,212,*Anonymous*,**,**
