*Ameiurus*,*cancellatus*,*Oligocene; Northwest Territory, Canada*
*Ameiurus*,*maconnellii*,*Oligocene; Northwest Territory, Canada*
*Amia*,*depressa*,*Eocene (Bridger); Wyoming*
*Amia*,*dictyocephala*,*Eocene (Amyzon shales); Colorado*
*Amia*,*elegans*,*Eocene (Bridger); Wyoming*
*Amia*,*gracilis*,*Eocene (Bridger); Wyoming*
*Amia*,*macrospondyla*,*Miocene; N. W. Territory, Canada*
*Amia*,*media*,*Eocene (Bridger); Wyoming*
*Amia*,*newberriana*,*Eocene (Bridger); Wyoming*
*Amia*,*scutata*,*Eocene (Amyzon shales); Colorado*
*Amia*,*uintaensis*,*Eocene (Bridger); Wyoming*
*Amia*,*whiteavesiana*,*Lower Miocene; N. W. Territory, Canada*
*Amiopsis*,*dartoni*,*Jurassic; South Dakota*
*Ammodon*,*bathrodon*,*Oligocene (White River); South Dakota?*
*Ammodon*,*leidyanus*,*Miocene; New Jersey*
*Ammosaurus*,*major*,*Triassic; Connecticut*
*Amphibamus*,*grandiceps*,*Coal-measures; Illinois*
*Amphicoelias*,*altus*,*Jurassic; Colorado*
*Amphicoelias*,*fragillimus*,*Jurassic; Colorado*
*Amphicoelias*,*latus*,*Jurassic; Colorado*
*Amphiplaga*,*brachyptera*,*Eocene (Green River); Wyoming*
*Amynodon*,*advenus*,*Eocene (Uinta); Utah*
*Amynodon*,*antiquus*,*Eocene (Bridger); Wyoming*
*Amynodon*,*intermedius*,*Eocene (Uinta); Utah*
*Amyzon*,*brevipinne*,*Tertiary (Amyzon shales); British Columbia*
*Amyzon*,*commune*,*Tertiary (Amyzon shales); Colorado*
*Amyzon*,*fusiforme*,*Tertiary (Amyzon shales); Colorado*
*Amyzon*,*mentale*,*Tertiary (Amyzon shales); Colorado*
*Amyzon*,*pandatum*,*Tertiary (Amyzon shales); Colorado*
*Anaclitacanthus*,*semicostatus*,*Subcarboniferous (Burlington); Iowa*
*Anacodon*,*ursidens*,*Eocene (Wasatch); Wyoming*
*Anaptogonia*,*cloacina*,*Pleistocene; Pennsylvania*
*Anaptogonia*,*hiatidens*,*Pleistocene; Pennsylvania*
*Anaptomorphus*,*aemulus*,*Eocene (Bridger); Wyoming*
*Anaptomorphus*,*homunculus*,*Eocene (Wasatch); Wyoming*
*Anaptomorphus*,*insignis*,*Eocene (Bridger); Wyoming*
*Anas*,*americana*,*Recent; North America: Pleistocene; Oregon*
*Anas*,*boschas*,*Recent; Northern Hemisphere: Pleistocene: Oregon*
*Anas*,*carolinensis*,*Recent; North America: Pleistocene; Oregon*
*Anas*,*cyanoptera*,*Recent; South America, Western North America: Pleistocene; Oregon*
*Anas*,*discors*,*Recent; North America: Pleistocene; Oregon*
*Anchippodus*,*minor*,*Eocene (Bridger); Wyoming*
*Anchippodus*,*riparius*,*Eocene; New Jersey*
*Anchippodus*,*vetulus*,*Eocene (Bridger); Wyoming*
*Anchippus*,*brevidens*,*Miocene (Loup Fork); Oregon*
*Anchippus*,*texanus*,*Miocene (Loup Fork?); Texas, Colorado*
*Anchisaurus*,*colurus*,*Triassic; Connecticut*
*Anchisaurus*,*polyzelus*,*Triassic; Massachusetts*
*Anchisaurus*,*solus*,*Triassic; Connecticut*
*Anchisodon*,*quadriplicatus*,*Oligocene (White River); Colorado*
*Anchisodon*,*tubifer*,*Miocene (John Day); Oregon*
*Anchitherium*,*equinum*,*Miocene (Loup Fork); Montana*
*Ancodon*,*americanus*,*Oligocene (White River); South Dakota*
*Ancodon*,*brachyrhynchus*,*Oligocene (White River); South Dakota*
*Ancodon*,*rostratus*,*Oligocene (White River); South Dakota*
*Ancyropus*,*heteroclitus*,*Triassic; Connecticut*
*Anisacodon*,*elegans*,*Eocene (Bridger); Wyoming*
*Anisodexis*,*enchodus*,*Coal-measures; Ohio*
*Anisodexis*,*imbricarius*,*Permian; Texas*
*Anisonchus*,*gillianus*,*Eocene (Puerco); New Mexico*
*Anisonchus*,*sectorius*,*Eocene (Torrejon); New Mexico*
*Anogmius*,*aratus*,*Cretaceous (Niobrara); Kansas*
*Anogmius*,*contractus*,*Cretaceous (Niobrara); Kansas*
*Anogmius*,*evolutus*,*Cretaceous (Niobrara); Kansas*
*Anogmius*,*favirostris*,*Cretaceous (Niobrara); Kansas*
*Anogmius*,*intermedius*,*Cretaceous (Niborara); Kansas*
*Anogmius*,*polymicrodus*,*Cretaceous (Niobrara); Kansas*
*Anogmius*,*rotundus*,*Cretaceous (Niobrara); Kansas*
*Anogmius*,*zitteli*,*Cretaceous (Niobrara); Kansas*
*Anomodon*,*snyderi*,*Pleistocene; northern Illinois*
*Anomoepus*,*culbertsonii*,*Coal-measures; Pennsylvania*
*Anomoepus*,*cuneatus*,*Triassic; Massachusetts*
*Anomoepus*,*curvatus*,*Triassic; Connecticut*
*Anomoepus*,*gallinuloides*,*Coal-measures; Pennsylvania*
*Anomoepus*,*gracillimus*,*Triassic; Massachusetts, Pennsylvania*
*Anomoepus*,*intermedius*,*Triassic; Massachusetts, Connecticut*
*Anomoepus*,*isodactylus*,*Triassic; Massachusetts*
*Anomoepus*,*major*,*Triassic; Massachusetts, New Jersey*
*Anomoepus*,*minimus*,*Triassic; Massachusetts*
*Anomoepus*,*scambus*,*Triassic; Massachusetts, New Jersey*
*Anoplonassa*,*forcipata*,*Tertiary (Phosphate beds); South Carolina*
*Anosteira*,*ornata*,*Eocene (Bridger); Wyoming*
*Anosteira*,*radulina*,*Eocene (Bridger); Wyoming*
*Anser*,*albifrons*,*Recent, Northern regions: Pleistocene; Oregon*
*Anser*,*condoni*,*Pleistocene; Oregon*
*Anthracopus*,*ellangowensis*,*Coal-measures; Pennsylvania*
*Anthracotherium*,*curtum*,*Oligocene (White River); South Dakota*
*Anthracotherium*,*gibbiceps*,*Oligocene (White River); South Dakota?*
*Anthracotherium*,*karense*,*Oligocene (White River); South Dakota*
*Antiacodon*,*nanus*,*Eocene (Bridger); Wyoming*
*Antiacodon*,*venustus*,*Eocene (Bridger); Wyoming*
*Anticheiropus*,*hamatus*,*Triassic; Massachusetts*
*Anticheiropus*,*pilulatus*,*Triassic; Massachusetts*
*Antilocapra*,*americana*,*Recent; Mexico and California to British America.  Pleistocene in lead region of Illinois, Iowa, and*
*Antipus*,*bifidus*,*Triassic; Massachusetts*
*Antipus*,*flexiloquus*,*Triassic; Massachusetts*
*Antliodus*,*arcuatus*,*Subcarboniferous (St. Louis); Indiana*
*Antliodus*,*cucullus*,*Subcarboniferous (Keokuk); Illinois*
*Antliodus*,*gracilis*,*Subcarboniferous (Warsaw); Illinois*
*Antliodus*,*minutus*,*Subcarboniferous; Europe: (Keokuk); Illinois: (St. Louis); Indiana*
*Antliodus*,*mucronatus*,*Subcarboniferous (St. Louis); Illinois*
*Antliodus*,*parvulus*,*Subcarboniferous (Burlington, Keokuk); Illinois*
*Antliodus*,*perovalis*,*Subcarboniferous (Warsaw); Illinois*
*Antliodus*,*politus*,*Subcarboniferous (Keokuk); Illinois*
*Antliodus*,*robustus*,*Subcarboniferous (Chester); Illinois*
*Antliodus*,*sarcululus*,*Subcarboniferous (Burlington); Iowa*
