99,144,*ABEL, OTHENIO*,**,**
99,145,*ABEL, OTHENIO*,**,**
99,146,*ABEL, OTHENIO*,**,**
99,147,*ABEL, OTHENIO*,**,**
99,148,*ABEL, OTHENIO*,**,**
99,149,*ABEL, OTHENIO*,**,**
99,150,*ABEL, OTHENIO*,**,**
99,151,*ABEL, OTHENIO*,**,**
99,152,*ABEL, OTHENIO*,**,**
99,153,*ABEL, OTHENIO*,**,**
99,154,*ABEL, OTHENIO*,**,**
99,155,*ABEL, OTHENIO*,**,**
99,156,*ABEL, OTHENIO*,**,**
99,157,*ABEL, OTHENIO*,**,**
99,158,*ABEL, OTHENIO*,**,**
99,159,*ABEL, OTHENIO*,**,**
99,160,*ABEL, OTHENIO*,**,**
99,161,*ABEL, OTHENIO*,**,**
99,162,*ABEL, OTHENIO*,**,**
99,163,*ABEL, OTHENIO*,**,**
99,164,*ABEL, OTHENIO*,**,**
99,165,*ABEL, OTHENIO*,**,**
99,166,*ABEL, OTHENIO*,**,**
99,167,*ABELA, GIO. FRANCESCO*,**,**
99,168,*ABICH, HERMANN WILHELM*,*= ABICH, GERWAN VASIL'YEVICH*,**
99,169,*ABICH, HERMANN WILHELM*,*= ABICH, GERWAN VASIL'YEVICH*,**
99,170,*ABICH, HERMANN WILHELM*,*= ABICH, GERWAN VASIL'YEVICH*,**
99,171,*ABINGTON, L. J.*,**,**
99,172,*ABRARD, RENE%A*,**,**
99,173,*ABRARD, RENE%A*,**,**
99,174,*ABRARD, RENE%A*,**,**
99,175,*ABRARD, RENE%A*,**,**
99,176,*ABRARD, RENE%A*,**,**
99,177,*ABRARD, R.*,**,**
99,177,*G. SERGENT*,**,**
99,178,*ABRIE, JEAN-JOSEPH*,**,**
99,179,*ABSOLON, KARL*,**,**
99,180,*ABSOLON, KARL*,**,**
99,181,*ABSOLON, KARL*,**,**
99,182,*ABSOLON, K.*,**,**
99,182,*R. CZIZ%JEK*,**,**
99,183,*ABSOLON, K.*,**,**
99,183,*R. CZIZ%JEK*,**,**
99,184,*ACCONCI, LUIGI*,**,**
99,185,*ACCONCI, LUIGI*,**,**
99,186,*ACCONCI, LUIGI*,**,**
99,187,*ACCONCI, LUIGI*,**,**
