59,120,*Ande%Arez, Valeriano*,**,**
59,121,*Alstine, Ralph E.*,**,**
59,121,*Lewis, G. E.*,**,**
59,122,*Altevogt, R.*,**,**
59,123,*Alva Negri, Tomas*,**,**
59,124,*de Alvarez, Elsa F.*,**,**
59,125,*de Alvarez, Elsa F.*,**,**
59,126,*de Alvarez, Elsa F.*,**,**
59,127,*de Alvarez, Elsa F.*,**,**
59,128,*Alvarez, Ticul*,**,**
59,129,*Amadon, Dean*,**,**
59,130,*Ambrosi, A. C.*,**,**
59,131,*An, Chih-min*,**,**
59,131,*Wu, J.*,**,**
59,132,*Anati, Emanuel*,**,**
59,133,*Anderson, Adrian D.*,**,**
59,134,*Anderson, Adrian D.*,**,**
59,135,*Andrews, Roy Chapman*,**,**
59,136,*Aner, Ekkehard*,**,**
59,137,*Angelroth, Henri*,**,**
59,138,*Angelroth, Henri*,**,**
59,139,*Angelroth, Henri*,**,**
59,140,*Angerer, Franz*,**,**
59,141,*Angerer, F.*,**,**
59,141,*Brunnacker, K.*,**,**
59,141,*Frenzel, B.*,**,**
59,141,*Lindner, H.*,**,**
59,142,*Anic%A, Dragutin*,**,**
59,143,*Anonymous*,**,**
59,144,*Anonymous*,**,**
59,145,*Anonymous*,**,**
59,146,*Anonymous*,**,**
59,147,*Anonymous*,**,**
59,148,*Anonymous*,**,**
59,149,*Anonymous*,**,**
59,150,*Anonymous*,**,**
59,151,*Anonymous*,**,**
59,152,*Anonymous*,**,**
59,153,*Anonymous*,**,**
59,154,*Anonymous*,**,**
59,155,*Anonymous*,**,**
59,156,*Anonymous*,**,**
59,157,*Anonymous*,**,**
59,158,*Anonymous*,**,**
59,159,*Anonymous*,**,**
59,160,*Anonymous*,**,**
59,161,*Anonymous*,**,**
59,162,*Anonymous*,**,**
59,163,*Anonymous*,**,**
59,164,*Anonymous*,**,**
59,165,*Anonymous*,**,**
59,166,*Anonymous*,**,**
59,167,*Anonymous*,**,**
59,168,*Anonymous*,**,**
59,169,*Anonymous*,**,**
59,170,*Anonymous*,**,**
59,171,*Anonymous*,**,**
59,172,*Anonymous*,**,**
59,173,*Anonymous*,**,**
59,174,*Anonymous*,**,**
59,175,*Anonymous*,**,**
59,176,*Anonymous*,**,**
59,177,*Anonymous*,**,**
59,178,*Anonymous*,**,**
59,179,*Anonymous*,**,**
59,180,*Anonymous*,**,**
59,181,*Anonymous*,**,**
59,182,*Anonymous*,**,**
59,183,*Anonymous*,**,**
59,184,*Anonymous*,**,**
59,185,*Anonymous*,**,**
59,186,*Anonymous*,**,**
59,187,*Anonymous*,**,**
59,188,*Anonymous*,**,**
59,189,*Anonymous*,**,**
59,190,*Anonymous*,**,**
59,191,*Anonymous*,**,**
59,192,*Anonymous*,**,**
59,193,*Anonymous*,**,**
59,194,*Anonymous*,**,**
59,195,*Anonymous*,**,**
59,196,*Anonymous*,**,**
59,197,*Anonymous*,**,**
59,198,*Anonymous*,**,**
59,199,*Anonymous*,**,**
59,200,*Anonymous*,**,**
59,201,*Anonymous*,**,**
59,202,*Anonymous*,**,**
59,203,*Anonymous*,**,**
59,204,*Anonymous*,**,**
59,205,*Anonymous*,**,**
59,206,*Anonymous*,**,**
59,207,*Anonymous*,**,**
59,208,*Anonymous*,**,**
59,209,*Anonymous*,**,**
59,210,*Anonymous*,**,**
59,211,*Anonymous*,**,**
59,212,*Anonymous*,**,**
59,213,*Anonymous*,**,**
59,214,*Anonymous*,**,**
59,215,*Anonymous*,**,**
59,216,*Anonymous*,**,**
59,217,*Anonymous*,**,**
59,218,*Anonymous*,**,**
59,219,*Anonymous*,**,**
59,220,*Anonymous*,**,**
59,221,*Anonymous*,**,**
59,222,*Anonymous*,**,**
59,223,*Anonymous*,**,**
59,224,*Anonymous*,**,**
59,225,*Anonymous*,**,**
59,226,*Anonymous*,**,**
59,227,*Anonymous*,**,**
59,228,*Anonymous*,**,**
59,229,*Anonymous*,**,**
59,230,*Anonymous*,**,**
59,231,*Anonymous*,**,**
59,232,*Anonymous*,**,**
59,233,*Anonymous*,**,**
59,234,*Anonymous*,**,**
59,235,*Anonymous*,**,**
59,236,*Anonymous*,**,**
59,237,*Anonymous*,**,**
59,238,*Anonymous*,**,**
59,239,*Anonymous*,**,**
59,240,*Anonymous*,**,**
59,241,*Anonymous*,**,**
59,242,*Anonymous*,**,**
59,243,*Anonymous*,**,**
59,244,*Anonymous*,**,**
59,245,*Anonymous*,**,**
59,246,*Anonymous*,**,**
59,247,*Anonymous*,**,**
59,248,*Anonymous*,**,**
59,249,*Anonymous*,**,**
59,250,*Anonymous*,**,**
59,251,*Anonymous*,**,**
59,252,*Anonymous*,**,**
59,253,*Anonymous*,**,**
59,254,*Anonymous*,**,**
59,255,*Anonymous*,**,**
59,256,*Anonymous*,**,**
59,257,*Anonymous*,**,**
59,258,*Anonymous*,**,**
59,259,*Anonymous*,**,**
59,260,*Anonymous*,**,**
59,261,*Anonymous*,**,**
59,262,*Anonymous*,**,**
59,263,*Anonymous*,**,**
59,264,*Anonymous*,**,**
59,265,*Anonymous*,**,**
59,266,*Anonymous*,**,**
59,267,*Anonymous*,**,**
59,268,*Anonymous*,**,**
59,269,*Anonymous*,**,**
59,270,*Anonymous*,**,**
59,271,*Anonymous*,**,**
59,272,*Anonymous*,**,**
59,273,*Anonymous*,**,**
59,274,*Anonymous*,**,**
59,275,*Anonymous*,**,**
59,276,*Anonymous*,**,**
59,277,*Anonymous*,**,**
59,278,*Anonymous*,**,**
59,279,*Anonymous*,**,**
59,280,*Anonymous*,**,**
59,281,*Anonymous*,**,**
59,282,*Anonymous*,**,**
59,283,*Anonymous*,**,**
59,284,*Anonymous*,**,**
59,285,*Anonymous*,**,**
59,286,*Anonymous*,**,**
59,287,*Anonymous*,**,**
59,288,*Anonymous*,**,**
59,289,*Anonymous*,**,**
59,290,*Anonymous*,**,**
59,291,*Anonymous*,**,**
59,292,*Anonymous*,**,**
59,293,*Anonymous*,**,**
59,294,*Anonymous*,**,**
59,295,*Anonymous*,**,**
59,296,*Anonymous*,**,**
59,297,*Anonymous*,**,**
59,298,*Anonymous*,**,**
59,299,*Anonymous*,**,**
59,300,*Anonymous*,**,**
59,301,*Anonymous*,**,**
59,302,*Anonymous*,**,**
59,303,*Anonymous*,**,**
59,304,*Anonymous*,**,**
59,305,*Anonymous*,**,**
59,306,*Anonymous*,**,**
59,307,*Anonymous*,**,**
59,308,*Anonymous*,**,**
59,309,*Anonymous*,**,**
59,310,*Anonymous*,**,**
59,311,*Anonymous*,**,**
59,312,*Anonymous*,**,**
59,313,*Anonymous*,**,**
59,314,*Anonymous*,**,**
59,315,*Anonymous*,**,**
59,316,*Anonymous*,**,**
59,317,*Anonymous*,**,**
59,318,*Anonymous*,**,**
59,319,*Anonymous*,**,**
59,320,*Anonymous*,**,**
59,321,*Anonymous*,**,**
59,322,*Anonymous*,**,**
59,323,*Anonymous*,**,**
59,324,*Anonymous*,**,**
59,325,*Anonymous*,**,**
59,326,*Anonymous*,**,**
59,327,*Anonymous*,**,**
59,328,*Anonymous*,**,**
59,329,*Anonymous*,**,**
59,330,*Anonymous*,**,**
59,331,*Anonymous*,**,**
59,332,*Anonymous*,**,**
59,333,*Anonymous*,**,**
59,334,*Anonymous*,**,**
59,335,*Anonymous*,**,**
59,336,*Anonymous*,**,**
59,337,*Anonymous*,**,**
59,338,*Anonymous*,**,**
59,339,*Anonymous*,**,**
59,340,*Anonymous*,**,**
59,341,*Anonymous*,**,**
59,342,*Anonymous*,**,**
59,343,*Anonymous*,**,**
59,344,*Anonymous*,**,**
59,345,*Anonymous*,**,**
59,346,*Anonymous*,**,**
59,347,*Anonymous*,**,**
59,348,*Anonymous*,**,**
59,349,*Anonymous*,**,**
59,350,*Anonymous*,**,**
59,351,*Anonymous*,**,**
59,352,*Anonymous*,**,**
59,353,*Anonymous*,**,**
59,354,*Anonymous*,**,**
59,355,*Anonymous*,**,**
59,356,*Anonymous*,**,**
59,357,*Anonymous*,**,**
59,358,*Anonymous*,**,**
59,359,*Anonymous*,**,**
59,360,*Anonymous*,**,**
59,361,*Anonymous*,**,**
59,362,*Anonymous*,**,**
59,363,*Anonymous*,**,**
59,364,*Anonymous*,**,**
59,365,*Anonymous*,**,**
59,366,*Anonymous*,**,**
59,367,*Anonymous*,**,**
59,368,*Anonymous*,**,**
59,369,*Anonymous*,**,**
59,370,*Anonymous*,**,**
59,371,*Anonymous*,**,**
59,372,*Anonymous*,**,**
59,373,*Anonymous*,**,**
59,374,*Anonymous*,**,**
59,375,*Anonymous*,**,**
59,376,*Anonymous*,**,**
59,377,*Anonymous*,**,**
59,378,*Anonymous*,**,**
59,379,*Anonymous*,**,**
59,380,*Anonymous*,**,**
59,381,*Anonymous*,**,**
59,382,*Anonymous*,**,**
59,383,*Anonymous*,**,**
59,384,*Anonymous*,**,**
59,385,*Anonymous*,**,**
59,386,*Anonymous*,**,**
59,387,*Anonymous*,**,**
59,388,*Anonymous*,**,**
59,389,*Anonymous*,**,**
59,390,*Anonymous*,**,**
59,391,*Anonymous*,**,**
59,392,*Anonymous*,**,**
59,393,*Anonymous*,**,**
59,394,*Anonymous*,**,**
59,395,*Anonymous*,**,**
59,396,*Anonymous*,**,**
59,397,*Anonymous*,**,**
59,398,*Anonymous*,**,**
59,399,*Anonymous*,**,**
59,400,*Anonymous*,**,**
59,401,*Anonymous*,**,**
59,402,*Anonymous*,**,**
59,403,*Anonymous*,**,**
59,404,*Anonymous*,**,**
59,405,*Anonymous*,**,**
59,406,*Anonymous*,**,**
59,407,*Anonymous*,**,**
59,408,*Anonymous*,**,**
59,409,*Anonymous*,**,**
59,410,*Anonymous*,**,**
59,411,*Anonymous*,**,**
59,412,*Anonymous*,**,**
59,413,*Anonymous*,**,**
59,414,*Anonymous*,**,**
59,415,*Anonymous*,**,**
59,416,*Anonymous*,**,**
59,417,*Anonymous*,**,**
59,418,*Anonymous*,**,**
59,419,*Anonymous*,**,**
59,420,*Anonymous*,**,**
59,421,*Anonymous*,**,**
59,422,*Anonymous*,**,**
59,423,*Anonymous*,**,**
59,424,*Anonymous*,**,**
59,425,*Anonymous*,**,**
59,426,*Anonymous*,**,**
59,427,*Anonymous*,**,**
59,428,*Anonymous*,**,**
59,429,*Anonymous*,**,**
59,430,*Anonymous*,**,**
59,431,*Anonymous*,**,**
59,432,*Anonymous*,**,**
59,433,*Anonymous*,**,**
59,434,*Anonymous*,**,**
59,435,*Anonymous*,**,**
