#0000105	Se%Arie Geologia -- Brasil	Brasilia, Brazil	Ministe%Ario das Minas e Energia. Departamento Nacional da Produc%Ba%Eo Mineral
#0000106	Contributions to Himalayan Geology	Delhi, India	Hindustan Publishing Corporation
#0000107	Oxford Monographs on Geology and Geophysics	Oxford/New York	Oxford University Press
#0000108	Special Publication. The Paleontological Society	Knoxville, TN	The Paleontological Society
#0000109	Oxford Geological Sciences Series	Oxford/New York	Oxford University Press
#0000110	Geologica Carpathica	Bratislava, Slovakia	Slovak Academy of Sciences, Slovak Academic Press
#0000111	Annali dell'Universita%C di Ferrara (Nuova Serie). Sezione: Scienze della Terra	Ferrara, Italy	Universita%C degli Studi di Ferrara
#0000112	Studia Universitatis Babes%B-Bolyai. Geologia	Cluj-Napoca, Romania.	Universitatea Babes%B-Bolyai
#0000113	Trabajos sobre Neogeno-Cuaternario. Madrid, Spain	Seccio%An de Paleontologi%Aa de Vertebrados y Humana, Instituto ``Lucas Mallada'' del CSIC	\N
#0000114	Azerbajcanin Paleontolokija ve Stratigrafijasi Meselaleri = Voprosy Paleontologii i Stratigrafii Azerbaydzhana\	Baku, USSR\	 Akademiya Nauk Azerbaydzhanskoy SSR	\N	\N
#0000115	Azerbajcan Elmlar Akademijasi%Tni%Tn Habarlari. Jer Elmlari Serijasi%T. Qeoloqija = Izvestiya Akademii Nauk Azerbaydzhana. Seriya Nauk o Zemle. Geologiya	Baku, Azerbaydzhan	Izdatel'stvo `Elm'
#0000116	Bulletin -- Acade%Amie Royale de Belgique. Classe des Sciences. [6e se%Arie]	Brussels, Belgium	Acade%Amie Royale de Belgique
#0000117	Bulletin de la Socie%Ate%A Ge%Aologique de France	Paris, France	Socie%Ate%A Ge%Aologique de France
#0000118	Bollettino della Societa%C di Scienze Naturali ed Economiche di Palermo. Nuova Serie (=Ser. 3.)	Palermo, Italy	Societa%C di Scienze Naturali ed Economiche di Palermo
#0000119	Beijing Ziran Bowuguan Yanjiu Baogao [=Pei-ching tzu-jan po-wu-kuan yen-chiu-pao-kao] = Memoirs of Beijing Natural History Museum	Beijing	Beijing Natural History Museum
#0000120	Research & Exploration	Washington, DC, USA	National Geographic Society
#0000121	Revista Te%Acnica de Yacimientos Petroli%Aferos Fiscales Bolivianos	La Paz & Santa Cruz, Bolivia	YPFB
#0000122	Scientific Papers -- The Mammoth Site of Hot Springs, South Dakota	Hot Springs, SD, USA	The Mammoth Site of Hot Springs, South Dakota, Inc.
#0000123	San Bernardino County Museum Association Quarterly	Redlands, CA, USA	San Bernardino County Museum Association
#0000124	San Bernardino County Museum Association Special Publication	Redlands, CA, USA	San Bernardino County Museum Association
#0000125	Museum of the Rockies Occasional Paper	Bozeman, MT, USA	Museum of the Rockies
#0000126	Quaternaria Nova	Rome, Italy	Istituto Italiano di Paleontologia Umana
00013765	Anais da Academia Brasileira de Cie%Dncias	Rio de Janeiro, Brazil	Academia Brasileira de Cie%Dncias
00014109	Bulletin de l'Acade%Amie Polonaise des Sciences. Se%Arie des Sciences de la Terre	Warsaw, Poland	Pan%Astwowe Wydawnictwo Naukowe
00014141	Bulletin de la Classe des Sciences, Acade%Amie Royale de Belgique. 5e se%Arie	Brussels, Belgium	Acade%Amie Royale de Belgique
00015709	Acta Geologica Polonica	Warsaw	Polska Akademia Nauk, Komitet Nauk Geologicznich
00015717	Dizhi Xuebao [= Ti-chih Hsu%Feh-pao = Geology Journal] = Acta Geologica Sinica	Beijing, China	Dizhi Chubanshe
00016616	Gushengwuxue Bao [= Ku-sheng-wu-hsu%Feh Pao = Paleontology Journal] = Acta Palaeontologica Sinica	Beijing, China	Kexue Chubanshe
00017132	Acta Universitatis Carolinae, Geologica	Prague, Czechoslovakia	Univerzita Karlova v Praze
00017264	Acta Zoologica Academiae Scientiarum Hungaricae	Budapest, Hungary	Akade%Amiai Kiado%A
00017272	Acta Zoologica (Stockholm)	Stockholm, Sweden	Royal Swedish Academy of Sciences
00017299	Acta Zoologica Fennica	Helsinki, Finland	Finnish Zoological Publishing Board
00017302	Dongwuxue Bao [= Tung-wu-hsu%Feh Pao = Zoology Journal] = Acta Zoologica Sinica	Beijing, China	Zhongguo Dongwuxue Hui. Koxue Chubanshe
00023078	Azerbaycan SSR Elmlar Akademiyasi%T Maruzalar = Akademiya Nauk Azerbaydzhanskoy SSR Doklady	Baku, USSR	Izdatel'stvo ``Elm''
00023124	Azerbaycan SSR Elmlar Akademiyasinin Habarlari. Yer Elmlari Seriyasi = Izvestiya Akademii Nauk Azerbaydzhanskoy SSR. Seriya Nauk o Zemle	Baku, USSR	Izdatel'stvo ``Elm''
00023175	Izvestiya Akademii Nauk Kazakhskoy SSR, Seriya Geologicheskaya	Alma Ata, USSR	Izdatel'stvo ``Nauka'' Kazakhskoy SSR
00023183	Qazaq SSR Ghylym Akademiyasynyn' Habarlary, Seriya Biologicheskaya = Izvestiya Akademii Nauk Kazakhskoy SSR, Seriya Biologicheskaya	Alma Ata, USSR	Izdatel'stvo ``Nauka'' Kazakhskoy SSR
00023213	Qazaq SSR Ghylym Akademiyasynyn' Habarshysy = Vestnik Akademii Nauk Kazakhskoy SSR	Alma-Ata, USSR	AN Kazakh. SSR
00023264	Doklady Akademii Nauk. Rossiyskaya Akademiya Nauk	Moscow, Russia	Izdatel'stov ``Nauka''
00023272	Trudy Geologicheskogo Instituta, Akademiya Nauk SSSR	Moscow, USSR	Izdatel'stvo ``Nauka''
00023469	Dokladhoi Akademiyai Fanhoi RSS Tojikiston = Doklady Akademii Nauk Tadzhikskoy SSR	Dushanbe, USSR	Izdatel'stvo ``Donish''
00023485	Akhboroti Akad. Fanhoi RSS Tojikiston. Shu%N"bai Fan. Fiz. Mat. Khim. va Geol. = Izv. Akad. Nauk Tadzh. SSR, Otd. Fiz.-Mat. Khim. Geol. Nauk.	Dushanbe, USSR	Izdatel'stvo ``Donish''
00023523	Dopovidi Akademii%F Nauk Ukrai%Fns'koi%F RSR. Seriya B. Heolohichni, Khimichni ta Biolohichni Nauky	Kiev, USSR	Vydavnytsvo ``Naukova Dumka''
0002354X	Doklady Akademii Nauk Belorusi	Minsk, USSR	Nauka i Tekhnika
00027014	Ameghiniana. Revista de la Asociacio%An Paleontolo%Agica Argentina	Buenos Aires, Argentina	Asociacio%An Paleontolo%Agica Argentina
00027065	Jahrbuch des Obero%Fsterreichischen Musealvereines Gesellschaft fu%Fr Landeskunde	Linz, Austria	Obero%Fsterreichischer Musealvereines -- Gesellschaft fu%Fr Landeskunde
00027979	Journal of the American Dental Association (JADA)	Chicago, IL, USA	American Dental Association
00029483	American Journal of Physical Anthropology	New York, NY, USA	Alan R. Liss, Inc.
00029599	American Journal of Science	New Haven, CT, USA	Kline Geology Laboratory, Yale University
00030031	American Midland Naturalist	South Bend, IN, USA	University of Notre Dame, The University Press
00030082	American Museum Novitates	New York, NY, USA	American Museum of Natural History
00030090	Bulletin of the American Museum of Natural History	New York, NY, USA	American Museum of Natural History
00030147	American Naturalist	Chicago, IL, USA	University of Chicago Press
0003049X	Proceedings of the American Philosophical Society	Philadelphia, PA, USA	American Philosophical Society
00030996	American Scientist	Research Triangle Park, NC, USA	Sigma Xi, the Scientific Research Society
00031569	American Zoologist	Lawrence, KS, USA	American Society of Zoologists
0003455X	Annales Zoologici Fennici	Helsinki, Finland	Finnish Academy of Sciences, Societas Scientiarum Fennica, Societas pro Fauna et Flora Fennica, Societas Biologica Fennica Vanamo
00035335	Antarctic Journal of the United States	Washington, DC, USA	National Science Foundation, Office of Polar Programs
00035505	Jinruigaku Zasshi [= Anthropology Journal] = Journal of the Anthropological Society of Nippon	To%Nkyo%N, Japan	Nihon Jinrui Gakkai (Japanese Anthropological Society)
00035521	L'Anthropologie	Paris, France	Masson et Cie
00035572	Anthropos. Studies in Anthropology, Palaeoethnology, Palaeontology and Quaternary Geology	Brno, Czechoslovakia	Anthropos Institute -- Moravian Museum
00039969	Archives of Oral Biology	Oxford, England - New York, NY, USA	Pergamon Press
00040843	Arctic	Calgary, AB, Canada	Arctic Institute of North America
00041378	Journal of the Arizona Academy of Science	[Tucson], AZ, USA	Arizona Academy of Science
00042110	Arkiv for Zoologi	Stockholm, Sweden	Kungl. Svenska Vetenskapakademien
00044822	Asociacio%An Geolo%Agica Argentina Revista	Buenos Aires, Argentina	Asociacio%An Geolo%Agica Argentina
00045500	Bulletin de l'Association Franc%Baise pour l'E%Atude du Quaternaire. 2e Se%Arie	Paris, France	Maison de la Ge%Aologie
00047856	Aufschluss. Zeitschrift fu%Fr die Freunde der Mineralogie und Geologie	Heidelberg, Germany	Vereinigung der Freunde der Mineralogie und Geologie
00048038	Auk. A Quarterly Journal of Ornithology	Washington, DC, USA	The American Ornithologists' Union
00056995	Abhandlungen, Bayerische Akademie der Wissenschaften, Mathematisch-Naturwissenschaftliche Klasse	Munich, Germany	Verlag der Bayerischen Akademie der Wissenschaften
00057266	Baylor Geological Studies, Bulletin	Waco, TX, USA	Baylor University, Department of Geology
00058122	Beitra%Fge zur Naturkundlichen Forschung in Su%Fdwestdeutschland	Karlsruhe, Germany	Landessammlungen fu%Fr Naturkunde Karlsruhe
00062375	Bild der Wissenschaft. Zeitschrift fu%Fr Naturwissenschaft and Technik in Unserer Zeit	Stuttgart, Germany	Pegasus Buch- und Zeitschriften-Vertriebsgesellschaft
00063231	Biological Reviews of the Cambridge Philosophical Society	London, England / New York, NY, USA	Cambridge University Press
0006324X	Proceedings of the Biological Society of Washington	Washington, DC, USA	Biological Society of Washington
00063568	BioScience	Washington, DC, USA	Institute of Biological Sciences
00066982	Journal of the Bombay Natural History Society	Bombay, India	Bombay Natural History Society
00067172	Bonner Zoologische Beitra%Fge	Bonn, Germany	Zoologisches Forschungsinstitut und Museum Alexander Ko%Fnig
00069698	Breviora	Cambridge, MA, USA	Harvard University, Museum of Comparative Zoology
00071072	British Journal of Herpetology	London, England	British Herpetological Society
00071471	Bulletin of the British Museum (Natural History), Geology	London, England	British Museum (Natural History)
00071498	Bulletin of the British Museum (Natural History), Zoology	London, England	British Museum (Natural History)
